phantom_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,cluster_size,members,why_phantom,old_label_int,new_label_int,label
PHT_00051,ABprppap,81,82,23,10,3,ABalaaaal|ABprppap|ABprpppa,set(old_members)==set(new_members),23,10,0
PHT_00052,ABprpppa,81,82,23,10,3,ABalaaaal|ABprppap|ABprpppa,set(old_members)==set(new_members),23,10,0
PHT_00053,ABalpappp,81,82,12,11,3,ABalpappp|Epl|MSaaap,set(old_members)==set(new_members),12,11,0
PHT_00054,ABpraaaaa,81,82,14,17,3,ABpraaaaa|ABpraaapa|ABprapp,set(old_members)==set(new_members),14,17,0
PHT_00055,ABpraaapa,81,82,14,17,3,ABpraaaaa|ABpraaapa|ABprapp,set(old_members)==set(new_members),14,17,0
PHT_00056,MSaaap,81,82,12,11,3,ABalpappp|Epl|MSaaap,set(old_members)==set(new_members),12,11,0
PHT_00057,ABalaaaal,81,82,23,10,3,ABalaaaal|ABprppap|ABprpppa,set(old_members)==set(new_members),23,10,0
PHT_00058,ABplpaa,82,83,0,1,3,ABarpaaap|ABplpaa|MSaaaap,set(old_members)==set(new_members),0,1,0
PHT_00059,ABprppp,82,83,1,23,3,ABprppp|Cppap|Cpppa,set(old_members)==set(new_members),1,23,0
PHT_00060,ABplppap,82,83,9,12,3,ABarappap|ABplppap|ABpraapaa,set(old_members)==set(new_members),9,12,0
PHT_00061,ABarappap,82,83,9,12,3,ABarappap|ABplppap|ABpraapaa,set(old_members)==set(new_members),9,12,0
PHT_00062,ABpraapaa,82,83,9,12,3,ABarappap|ABplppap|ABpraapaa,set(old_members)==set(new_members),9,12,0
PHT_00063,ABarpaaap,82,83,0,1,3,ABarpaaap|ABplpaa|MSaaaap,set(old_members)==set(new_members),0,1,0
PHT_00064,MSaaaap,82,83,0,1,3,ABarpaaap|ABplpaa|MSaaaap,set(old_members)==set(new_members),0,1,0
PHT_00065,Cppap,82,83,1,23,3,ABprppp|Cppap|Cpppa,set(old_members)==set(new_members),1,23,0
PHT_00066,Cpppa,82,83,1,23,3,ABprppp|Cppap|Cpppa,set(old_members)==set(new_members),1,23,0
PHT_00067,ABplapaa,83,84,10,21,3,ABalppaap|ABplapaa|MSapaa,set(old_members)==set(new_members),10,21,0
PHT_00068,ABplppap,83,84,12,16,3,ABarappap|ABplppap|ABpraapaa,set(old_members)==set(new_members),12,16,0
PHT_00069,ABpraapa,83,84,13,17,3,ABplappaa|ABplppapp|ABpraapa,set(old_members)==set(new_members),13,17,0
PHT_00070,ABalppaap,83,84,10,21,3,ABalppaap|ABplapaa|MSapaa,set(old_members)==set(new_members),10,21,0
PHT_00071,ABarappap,83,84,12,16,3,ABarappap|ABplppap|ABpraapaa,set(old_members)==set(new_members),12,16,0
PHT_00072,ABplappaa,83,84,13,17,3,ABplappaa|ABplppapp|ABpraapa,set(old_members)==set(new_members),13,17,0
PHT_00073,ABplppapp,83,84,13,17,3,ABplappaa|ABplppapp|ABpraapa,set(old_members)==set(new_members),13,17,0
PHT_00074,ABpraapaa,83,84,12,16,3,ABarappap|ABplppap|ABpraapaa,set(old_members)==set(new_members),12,16,0
PHT_00075,MSapaa,83,84,10,21,3,ABalppaap|ABplapaa|MSapaa,set(old_members)==set(new_members),10,21,0
PHT_00076,ABalapap,84,85,9,18,5,ABalapap|ABalppapp|ABalpppap|ABaraaap|ABplpaaaa,set(old_members)==set(new_members),9,18,0
PHT_00077,ABalppaa,84,85,10,17,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),10,17,0
PHT_00078,ABaraaap,84,85,9,18,5,ABalapap|ABalppapp|ABalpppap|ABaraaap|ABplpaaaa,set(old_members)==set(new_members),9,18,0
PHT_00079,ABalaaaar,84,85,10,17,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),10,17,0
PHT_00080,ABalpaaaa,84,85,10,17,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),10,17,0
PHT_00081,ABalppapp,84,85,9,18,5,ABalapap|ABalppapp|ABalpppap|ABaraaap|ABplpaaaa,set(old_members)==set(new_members),9,18,0
PHT_00082,ABalpppap,84,85,9,18,5,ABalapap|ABalppapp|ABalpppap|ABaraaap|ABplpaaaa,set(old_members)==set(new_members),9,18,0
PHT_00083,ABplpaaaa,84,85,9,18,5,ABalapap|ABalppapp|ABalpppap|ABaraaap|ABplpaaaa,set(old_members)==set(new_members),9,18,0
PHT_00084,ABprpaa,85,86,8,5,5,ABalpppp|ABplappa|ABprpaa|Epr|MSpaaap,set(old_members)==set(new_members),8,5,0
PHT_00085,Epr,85,86,8,5,5,ABalpppp|ABplappa|ABprpaa|Epr|MSpaaap,set(old_members)==set(new_members),8,5,0
PHT_00086,ABalppaa,85,86,17,10,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),17,10,0
PHT_00087,ABalpppp,85,86,8,5,5,ABalpppp|ABplappa|ABprpaa|Epr|MSpaaap,set(old_members)==set(new_members),8,5,0
PHT_00088,ABplappa,85,86,8,5,5,ABalpppp|ABplappa|ABprpaa|Epr|MSpaaap,set(old_members)==set(new_members),8,5,0
PHT_00089,ABalaaaar,85,86,17,10,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),17,10,0
PHT_00090,ABalpaaaa,85,86,17,10,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),17,10,0
PHT_00091,MSpaaap,85,86,8,5,5,ABalpppp|ABplappa|ABprpaa|Epr|MSpaaap,set(old_members)==set(new_members),8,5,0
PHT_00092,ABalppaa,86,87,10,11,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),10,11,0
PHT_00093,ABplppap,86,87,12,13,3,ABarappap|ABplppap|ABpraaapp,set(old_members)==set(new_members),12,13,0
PHT_00094,ABalaaaar,86,87,10,11,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),10,11,0
PHT_00095,ABalpaaaa,86,87,10,11,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),10,11,0
PHT_00096,ABarappap,86,87,12,13,3,ABarappap|ABplppap|ABpraaapp,set(old_members)==set(new_members),12,13,0
PHT_00097,ABpraaapp,86,87,12,13,3,ABarappap|ABplppap|ABpraaapp,set(old_members)==set(new_members),12,13,0
PHT_00098,MSppa,87,88,6,4,3,ABarpaapa|MSaappp|MSppa,set(old_members)==set(new_members),6,4,0
PHT_00099,ABalppaa,87,88,11,12,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),11,12,0
PHT_00100,ABalaaaar,87,88,11,12,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),11,12,0
PHT_00101,ABalappaa,87,88,14,23,3,ABalappaa|ABaraaaap|MSaaaaa,set(old_members)==set(new_members),14,23,0
PHT_00102,ABalpaaaa,87,88,11,12,3,ABalaaaar|ABalpaaaa|ABalppaa,set(old_members)==set(new_members),11,12,0
PHT_00103,ABaraaaap,87,88,14,23,3,ABalappaa|ABaraaaap|MSaaaaa,set(old_members)==set(new_members),14,23,0
PHT_00104,ABarpaapa,87,88,6,4,3,ABarpaapa|MSaappp|MSppa,set(old_members)==set(new_members),6,4,0
PHT_00105,MSaaaaa,87,88,14,23,3,ABalappaa|ABaraaaap|MSaaaaa,set(old_members)==set(new_members),14,23,0
PHT_00106,MSaappp,87,88,6,4,3,ABarpaapa|MSaappp|MSppa,set(old_members)==set(new_members),6,4,0
PHT_00107,ABpraaa,88,89,26,3,3,ABarppppa|ABpraaa|MSppaap,set(old_members)==set(new_members),26,3,0
PHT_00108,Cpap,88,89,6,8,3,ABaraappa|Cpap|MSpaaaa,set(old_members)==set(new_members),6,8,0
PHT_00109,ABalapppp,88,89,16,17,4,ABalapppp|Eara|MSpaapp|MSpapaa,set(old_members)==set(new_members),16,17,0
PHT_00110,ABaraappa,88,89,6,8,3,ABaraappa|Cpap|MSpaaaa,set(old_members)==set(new_members),6,8,0
PHT_00111,ABarppppa,88,89,26,3,3,ABarppppa|ABpraaa|MSppaap,set(old_members)==set(new_members),26,3,0
PHT_00112,ABplaappa,88,89,20,22,3,ABplaappa|ABplapaaa|ABplpaapp,set(old_members)==set(new_members),20,22,0
PHT_00113,ABplapaaa,88,89,20,22,3,ABplaappa|ABplapaaa|ABplpaapp,set(old_members)==set(new_members),20,22,0
PHT_00114,ABplpaapp,88,89,20,22,3,ABplaappa|ABplapaaa|ABplpaapp,set(old_members)==set(new_members),20,22,0
PHT_00115,MSpaaaa,88,89,6,8,3,ABaraappa|Cpap|MSpaaaa,set(old_members)==set(new_members),6,8,0
PHT_00116,MSpaapp,88,89,16,17,4,ABalapppp|Eara|MSpaapp|MSpapaa,set(old_members)==set(new_members),16,17,0
PHT_00117,MSpapaa,88,89,16,17,4,ABalapppp|Eara|MSpaapp|MSpapaa,set(old_members)==set(new_members),16,17,0
PHT_00118,Eara,88,89,16,17,4,ABalapppp|Eara|MSpaapp|MSpapaa,set(old_members)==set(new_members),16,17,0
PHT_00119,MSppaap,88,89,26,3,3,ABarppppa|ABpraaa|MSppaap,set(old_members)==set(new_members),26,3,0
PHT_00120,ABplpap,89,90,23,21,3,ABplpap|Epla|MSaappp,set(old_members)==set(new_members),23,21,0
PHT_00121,MSaap,89,90,5,7,3,ABplaappp|ABplppapa|MSaap,set(old_members)==set(new_members),5,7,0
PHT_00122,Eal,89,90,26,25,3,Eal|MSapppa|MSpaap,set(old_members)==set(new_members),26,25,0
PHT_00123,MSpaap,89,90,26,25,3,Eal|MSapppa|MSpaap,set(old_members)==set(new_members),26,25,0
PHT_00124,ABalapppp,89,90,17,23,4,ABalapppp|Eara|MSpaapp|MSpapaa,set(old_members)==set(new_members),17,23,0
PHT_00125,ABarppaaa,89,90,18,22,3,ABarppaaa|Ealp|MSappaa,set(old_members)==set(new_members),18,22,0
PHT_00126,ABplaappp,89,90,5,7,3,ABplaappp|ABplppapa|MSaap,set(old_members)==set(new_members),5,7,0
PHT_00127,ABplppapa,89,90,5,7,3,ABplaappp|ABplppapa|MSaap,set(old_members)==set(new_members),5,7,0
PHT_00128,MSaappp,89,90,23,21,3,ABplpap|Epla|MSaappp,set(old_members)==set(new_members),23,21,0
PHT_00129,MSpaapp,89,90,17,23,4,ABalapppp|Eara|MSpaapp|MSpapaa,set(old_members)==set(new_members),17,23,0
PHT_00130,MSpapaa,89,90,17,23,4,ABalapppp|Eara|MSpaapp|MSpapaa,set(old_members)==set(new_members),17,23,0
PHT_00131,Ealp,89,90,18,22,3,ABarppaaa|Ealp|MSappaa,set(old_members)==set(new_members),18,22,0
PHT_00132,Eara,89,90,17,23,4,ABalapppp|Eara|MSpaapp|MSpapaa,set(old_members)==set(new_members),17,23,0
PHT_00133,Epla,89,90,23,21,3,ABplpap|Epla|MSaappp,set(old_members)==set(new_members),23,21,0
PHT_00134,Eprp,89,90,25,24,3,Cppaa|Dpp|Eprp,set(old_members)==set(new_members),25,24,0
PHT_00135,Cppaa,89,90,25,24,3,Cppaa|Dpp|Eprp,set(old_members)==set(new_members),25,24,0
PHT_00136,Dpp,89,90,25,24,3,Cppaa|Dpp|Eprp,set(old_members)==set(new_members),25,24,0
