event_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,old_cluster_size,new_cluster_size,old_cluster_members,new_cluster_members,label
ANS_04102,MSpaapp,121,122,27,48,3,4,MSappaa|MSappp|MSpaapp,ABplaaappa|MSappaa|MSappp|MSpaapp,1
ANS_04103,MSpapaa,121,122,64,5,3,20,ABalpapppp|MSaapapa|MSpapaa,ABarapapp|ABarpappp|ABarppaaap|ABplapaaaa|ABplapaaap|ABplpapaap|ABplpapapa|ABplpapapp|ABplpappa|Daaa|Daap|Dapa|MSapap|MSappa|MSapppaa|MSapppap|MSapppp|MSpaap|MSpapaa|MSppapp,1
ANS_04104,Cappa,121,122,14,10,3,6,ABarpppapp|ABpraaaa|Cappa,ABarpapaa|ABarpppapp|ABplaapa|ABpraaaa|Cappa|Cpppaa,1
ANS_04105,ABalaaaalp,121,122,53,38,3,6,ABalaaaalp|ABalapaapa|ABalppaaap,ABalaaaalp|ABalapaapp|ABalpaappa|ABaraaaap|ABplaapaaa|MSapaaaa,1
ANS_04106,ABalaaaarl,121,122,21,24,6,7,ABalaaaarl|ABalapaaaa|ABalapaap|ABalpapaa|ABprppppp|MSaaaaap,ABalaaaarl|ABalaaapar|ABalapaaaa|ABalpapaa|ABprppppp|Cppa|MSaaaaap,1
ANS_04107,ABalaaapar,121,122,37,24,3,7,ABalaaapar|ABaraaaaaa|Cpppa,ABalaaaarl|ABalaaapar|ABalapaaaa|ABalpapaa|ABprppppp|Cppa|MSaaaaap,1
ANS_04108,ABalaaappr,121,122,18,17,6,9,ABalaaappr|ABalaappaa|ABalaapppa|ABalappapp|ABprappp|Cppppa,ABalaaappr|ABalaapaaa|ABalaappaa|ABalaapppa|ABalappapa|ABalappapp|ABprappp|Cpppp|Cppppa,1
ANS_04109,ABalaappaa,121,122,18,17,6,9,ABalaaappr|ABalaappaa|ABalaapppa|ABalappapp|ABprappp|Cppppa,ABalaaappr|ABalaapaaa|ABalaappaa|ABalaapppa|ABalappapa|ABalappapp|ABprappp|Cpppp|Cppppa,1
ANS_04110,ABalaapppa,121,122,18,17,6,9,ABalaaappr|ABalaappaa|ABalaapppa|ABalappapp|ABprappp|Cppppa,ABalaaappr|ABalaapaaa|ABalaappaa|ABalaapppa|ABalappapa|ABalappapp|ABprappp|Cpppp|Cppppa,1
ANS_04111,ABalapaaaa,121,122,21,24,6,7,ABalaaaarl|ABalapaaaa|ABalapaap|ABalpapaa|ABprppppp|MSaaaaap,ABalaaaarl|ABalaaapar|ABalapaaaa|ABalpapaa|ABprppppp|Cppa|MSaaaaap,1
ANS_04112,ABalapaaap,121,122,38,33,5,11,ABalaaaala|ABalapaaap|ABarpaaaa|Dap|Dpp,ABalapaaap|ABalapapaa|ABalapapap|ABalpaaap|ABalpaapap|ABaraapaaa|ABarpaaaa|ABplaaaaaa|Dap|Dpp|MSaaapaa,1
ANS_04113,ABalapaapp,121,122,43,38,5,6,ABalapaapp|ABalpaappa|ABaraaaap|ABarpapaa|MSapaaaa,ABalaaaalp|ABalapaapp|ABalpaappa|ABaraaaap|ABplaapaaa|MSapaaaa,1
ANS_04114,ABalapapap,121,122,60,33,4,11,ABalapapap|ABalpaapap|ABplaaaaaa|MSaaapaa,ABalapaaap|ABalapapaa|ABalapapap|ABalpaaap|ABalpaapap|ABaraapaaa|ABarpaaaa|ABplaaaaaa|Dap|Dpp|MSaaapaa,1
ANS_04115,ABalapappp,121,122,50,47,5,6,ABalapappp|ABplaaapaa|Capaaa|MSapapp|MSpaapa,ABalapappp|ABplaaapaa|Capaaa|MSapapap|MSapapp|MSpaapa,1
ANS_04116,ABalappapp,121,122,18,17,6,9,ABalaaappr|ABalaappaa|ABalaapppa|ABalappapp|ABprappp|Cppppa,ABalaaappr|ABalaapaaa|ABalaappaa|ABalaapppa|ABalappapa|ABalappapp|ABprappp|Cpppp|Cppppa,1
ANS_04117,ABalapppaa,121,122,20,22,23,8,ABalapppaa|ABalapppap|ABalppaap|ABalppapa|ABalpppaa|ABaraaaaap|ABaraaappa|ABaraaappp|ABaraappaa|ABarpaaaaa|ABarpaaaap|ABprppap|ABprpppa|Caapp|Cppppp|Eprp|Eprpa|Eprpp|MSapaaa|MSpaaaaa|MSpaaaap|MSpaaapa|MSpaapaa,ABalapppaa|ABalppaaa|ABalppaap|ABalpppaa|ABarpaaaaa|ABprpppap|Cppppp|MSpaaaaa,1
ANS_04118,ABalapppap,121,122,20,21,23,24,ABalapppaa|ABalapppap|ABalppaap|ABalppapa|ABalpppaa|ABaraaaaap|ABaraaappa|ABaraaappp|ABaraappaa|ABarpaaaaa|ABarpaaaap|ABprppap|ABprpppa|Caapp|Cppppp|Eprp|Eprpa|Eprpp|MSapaaa|MSpaaaaa|MSpaaaap|MSpaaapa|MSpaapaa,ABalapppap|ABalppapa|ABalpppap|ABaraaaaap|ABaraaapap|ABaraaappa|ABaraapaap|ABaraappaa|ABaraappap|ABarapaaaa|ABplaaaap|ABplaapaa|ABplpaaaa|ABprpppaa|Caapp|Capp|Eplp|Eplpa|Eprpp|MSapaaa|MSpaaaap|MSpaaapa|MSpaapaa|MSppaaaa,1
ANS_04119,ABalappppp,121,122,11,14,9,5,ABalappppp|ABarpappaa|ABarpppp|ABplapaaa|ABplppaaa|Cppaaa|MSppaap|MSppapap|MSppapp,ABalappppp|ABplpapap|ABpraappp|Cppaaa|MSppapap,1
ANS_04120,ABalpaaaap,121,122,55,20,3,10,ABalpaaaap|ABaraapapa|MSaaapa,ABalpaaaap|ABaraapapa|ABarapaapa|ABarpaaapa|ABprpappp|Capaap|MSaaaapp|MSaaapa|MSaaapap|MSpppp,1
ANS_04121,ABalpaapap,121,122,60,33,4,11,ABalapapap|ABalpaapap|ABplaaaaaa|MSaaapaa,ABalapaaap|ABalapapaa|ABalapapap|ABalpaaap|ABalpaapap|ABaraapaaa|ABarpaaaa|ABplaaaaaa|Dap|Dpp|MSaaapaa,1
ANS_04122,ABalpaappa,121,122,43,38,5,6,ABalapaapp|ABalpaappa|ABaraaaap|ABarpapaa|MSapaaaa,ABalaaaalp|ABalapaapp|ABalpaappa|ABaraaaap|ABplaapaaa|MSapaaaa,1
ANS_04123,ABalpapaaa,121,122,52,37,3,3,ABalapppa|ABalpapaaa|MSapaaap,ABalapappa|ABalapppa|ABalpapaaa,1
ANS_04124,ABalpappap,121,122,31,13,13,11,ABalpappap|ABalpapppa|ABarapapap|ABplaaaapp|ABprpappa|Ealaa|Ealp|Epla|MSaaapp|MSaapaa|MSaapaaa|MSaapaap|MSpppa,ABalpappap|ABalpapppa|ABaraapapp|ABplaaaapa|ABplaaaapp|ABplpppa|ABprpappa|Ealaa|MSaaapp|MSaapaaa|MSaapaap,1
ANS_04125,ABalpapppa,121,122,31,13,13,11,ABalpappap|ABalpapppa|ABarapapap|ABplaaaapp|ABprpappa|Ealaa|Ealp|Epla|MSaaapp|MSaapaa|MSaapaaa|MSaapaap|MSpppa,ABalpappap|ABalpapppa|ABaraapapp|ABplaaaapa|ABplaaaapp|ABplpppa|ABprpappa|Ealaa|MSaaapp|MSaapaaa|MSaapaap,1
ANS_04126,ABalpapppp,121,122,64,19,3,4,ABalpapppp|MSaapapa|MSpapaa,ABalpapppp|ABprpapap|MSaapapa|MSpppa,1
ANS_04127,ABalppapaa,121,122,30,36,8,3,ABalaappp|ABalppapaa|ABalppapap|ABalppppaa|ABplaapaap|Daa|MSpapp|MSppaaa,ABalaappp|ABalppapaa|ABalppppaa,1
ANS_04128,ABalppapap,121,122,30,49,8,6,ABalaappp|ABalppapaa|ABalppapap|ABalppppaa|ABplaapaap|Daa|MSpapp|MSppaaa,ABalppapap|ABalppppap|ABplaapapa|ABplpaaaaa|ABplpaapaa|MSppaaa,1
ANS_04129,ABalppappa,121,122,41,50,6,5,ABalapppp|ABalpapapa|ABalppappa|ABalpppppa|ABplaapapa|ABplpaaaap,ABalppappa|ABalpppppa|ABplaapapp|ABplpaaaap|MSppaap,1
ANS_04130,ABalppappp,121,122,25,27,7,5,ABalppappp|ABalpppppp|ABplaappaa|ABplpaaapp|ABplpaappa|ABpraaapp|MSaapp,ABalppappp|ABalpppppp|ABplpaaapp|ABplpaappa|MSaapp,1
ANS_04131,ABalppppaa,121,122,30,36,8,3,ABalaappp|ABalppapaa|ABalppapap|ABalppppaa|ABplaapaap|Daa|MSpapp|MSppaaa,ABalaappp|ABalppapaa|ABalppppaa,1
ANS_04132,ABalppppap,121,122,54,49,3,6,ABalppppap|ABplpaaaaa|ABplpaapaa,ABalppapap|ABalppppap|ABplaapapa|ABplpaaaaa|ABplpaapaa|MSppaaa,1
ANS_04133,ABalpppppa,121,122,41,50,6,5,ABalapppp|ABalpapapa|ABalppappa|ABalpppppa|ABplaapapa|ABplpaaaap,ABalppappa|ABalpppppa|ABplaapapp|ABplpaaaap|MSppaap,1
ANS_04134,ABalpppppp,121,122,25,27,7,5,ABalppappp|ABalpppppp|ABplaappaa|ABplpaaapp|ABplpaappa|ABpraaapp|MSaapp,ABalppappp|ABalpppppp|ABplpaaapp|ABplpaappa|MSaapp,1
ANS_04135,ABaraaaaap,121,122,20,21,23,24,ABalapppaa|ABalapppap|ABalppaap|ABalppapa|ABalpppaa|ABaraaaaap|ABaraaappa|ABaraaappp|ABaraappaa|ABarpaaaaa|ABarpaaaap|ABprppap|ABprpppa|Caapp|Cppppp|Eprp|Eprpa|Eprpp|MSapaaa|MSpaaaaa|MSpaaaap|MSpaaapa|MSpaapaa,ABalapppap|ABalppapa|ABalpppap|ABaraaaaap|ABaraaapap|ABaraaappa|ABaraapaap|ABaraappaa|ABaraappap|ABarapaaaa|ABplaaaap|ABplaapaa|ABplpaaaa|ABprpppaa|Caapp|Capp|Eplp|Eplpa|Eprpp|MSapaaa|MSpaaaap|MSpaaapa|MSpaapaa|MSppaaaa,1
ANS_04136,ABaraaapaa,121,122,63,23,4,6,ABaraaapaa|ABprppppa|Eplpp|MSaaaaaa,ABaraaapaa|ABplaaaaa|ABprppppa|Eplpp|MSaaaaaa|MSaaaapa,1
ANS_04137,ABaraaapap,121,122,57,21,3,24,ABaraaapap|ABaraappap|ABarapaaaa,ABalapppap|ABalppapa|ABalpppap|ABaraaaaap|ABaraaapap|ABaraaappa|ABaraapaap|ABaraappaa|ABaraappap|ABarapaaaa|ABplaaaap|ABplaapaa|ABplpaaaa|ABprpppaa|Caapp|Capp|Eplp|Eplpa|Eprpp|MSapaaa|MSpaaaap|MSpaaapa|MSpaapaa|MSppaaaa,1
