adult_neuron,wormbase_raw_lineage,sulston_lineage,description,normalization_applied
DA5,AB prppapapp,ABprppapapp,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DA6,AB plpppaaap,ABplpppaaap,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DA7,AB prpppaaap,ABprpppaaap,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DA8,AB prpapappp,ABprpapappp,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DA9,AB plpppaaaa,ABplpppaaaa,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DB1,AB plpaaaapp,ABplpaaaapp,"Dorsal B-type motor neuron 1 — ventral cord, innervates dorsal muscles",spaces_removed
DB2,AB arappappa,ABarappappa,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DB3,AB prpaaaapp,ABprpaaaapp,"Dorsal B-type motor neuron 3 — ventral cord, innervates dorsal muscles",spaces_removed
DB4,AB prpappapp,ABprpappapp,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DB5,AB plpapappp,ABplpapappp,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DB6,AB plppaappp,ABplppaappp,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DB7,AB prppaappp,ABprppaappp,"Ventral cord motor neurons, innervate dorsal muscles",spaces_removed
DD1,AB plppappap,ABplppappap,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development",spaces_removed
DD2,AB prppappap,ABprppappap,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development",spaces_removed
DD3,AB plppapppa,ABplppapppa,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development",spaces_removed
DD4,AB prppapppa,ABprppapppa,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development",spaces_removed
DD5,AB plppapppp,ABplppapppp,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development",spaces_removed
DD6,AB prppapppp,ABprppapppp,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during postembryonic development",spaces_removed
DVA,AB prppppapp,ABprppppapp,"Ring interneuron, cell body in dorsorectal ganglion",spaces_removed
DVB,K.p,K.p,"Ring interneuron, cell body in dorsorectal ganglion, innervates rectal muscles",none
DVC,C aapaa,Caapaa,"Ring interneuron, cell body in dorsorectal ganglion",spaces_removed
FLPL,AB plapaaapad,ABplapaaapa,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",spaces_removed + suffix_d_stripped
FLPR,AB prapaaapad,ABprapaaapa,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",spaces_removed + suffix_d_stripped
HSNL,AB plapppappa,ABplapppappa,"Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",spaces_removed
HSNR,AB prapppappa,ABprapppappa,"Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",spaces_removed
I1L,AB alpapppaa,ABalpapppaa,"Pharyngeal interneurons: ant sensory, input from RIP",spaces_removed
I1R,AB arapappaa,ABarapappaa,"Pharyngeal interneurons: ant sensory, input from RIP",spaces_removed
I2L,AB alpappaapa,ABalpappaapa,"Pharyngeal interneurons, ant sensory.",spaces_removed
I2R,AB arapapaapa,ABarapapaapa,"Pharyngeal interneurons, ant sensory.",spaces_removed
I3,MS aaaaapaa,MSaaaaapaa,"Pharyngeal interneuron, ant sensory.",spaces_removed
I4,MS aaaapaa,MSaaaapaa,Pharyngeal interneuron.,spaces_removed
I5,AB arapapapp,ABarapapapp,"Pharyngeal interneuron, post sensory.",spaces_removed
I6,MS paaapaa,MSpaaapaa,"Pharyngeal interneuron, post sensory.",spaces_removed
IL1DL,AB alapappaaa,ABalapappaaa,Inner labial neuron,spaces_removed
IL1DR,AB alappppaaa,ABalappppaaa,Inner labial neuron,spaces_removed
IL1L,AB alapaappaa,ABalapaappaa,Inner labial neuron,spaces_removed
IL1R,AB alaappppaa,ABalaappppaa,Inner labial neuron,spaces_removed
IL1VL,AB alppapppaa,ABalppapppaa,Inner labial neuron,spaces_removed
IL1VR,AB arapppppaa,ABarapppppaa,Inner labial neuron,spaces_removed
IL2DL,AB alapappap,ABalapappap,Inner labial neuron,spaces_removed
IL2DR,AB alappppap,ABalappppap,Inner labial neuron,spaces_removed
IL2L,AB alapaappp,ABalapaappp,Inner labial neuron,spaces_removed
IL2R,AB alaappppp,ABalaappppp,Inner labial neuron,spaces_removed
IL2VL,AB alppapppp,ABalppapppp,Inner labial neuron,spaces_removed
IL2VR,AB arapppppp,ABarapppppp,Inner labial neuron,spaces_removed
LUAL,AB plpppaapap,ABplpppaapap,"Interneuron, short process in post ventral cord",spaces_removed
LUAR,AB prpppaapap,ABprpppaapap,"Interneuron, short process in post ventral cord",spaces_removed
M1,MS paapaaa,MSpaapaaa,Pharyngeal motorneurons,spaces_removed
M2L,AB araapappa,ABaraapappa,Pharyngeal motorneurons,spaces_removed
M2R,AB araappppa,ABaraappppa,Pharyngeal motorneurons,spaces_removed
M3L,AB araapappp,ABaraapappp,Pharyngeal sensory-motorneurons,spaces_removed
M3R,AB araappppp,ABaraappppp,Pharyngeal sensory-motorneurons,spaces_removed
M4,MS paaaaaa,MSpaaaaaa,Pharyngeal motorneurons,spaces_removed
M5,MS paaapap,MSpaaapap,Pharyngeal motorneurons,spaces_removed
MCL,AB alpaaappp,ABalpaaappp,Pharyngeal neurons that synapse onto marginal cells,spaces_removed
MCR,AB arapaappp,ABarapaappp,Pharyngeal neurons that synapse onto marginal cells,spaces_removed
MI,AB araappaaa,ABaraappaaa,Pharyngeal motor neuron/interneuron,spaces_removed
NSML,AB araapapaav,ABaraapapaa,"Pharyngeal neurosecretory motorneuron, contain serotonin",spaces_removed + suffix_v_stripped
NSMR,AB araapppaav,ABaraapppaa,"Pharyngeal neurosecretory motorneuron, contain serotonin",spaces_removed + suffix_v_stripped
OLLL,AB alppppapaa,ABalppppapaa,Lateral outer labial neurons,spaces_removed
OLLR,AB praaapapaa,ABpraaapapaa,Lateral outer labial neurons,spaces_removed
OLQDL,AB alapapapaa,ABalapapapaa,Quadrant outer labial neuron,spaces_removed
OLQDR,AB alapppapaa,ABalapppapaa,Quadrant outer labial neuron,spaces_removed
OLQVL,AB plpaaappaa,ABplpaaappaa,Quadrant outer labial neuron,spaces_removed
OLQVR,AB prpaaappaa,ABprpaaappaa,Quadrant outer labial neuron,spaces_removed
PDA,AB prpppaaaa,ABprpppaaaa,"Motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male",spaces_removed
PDB,P12.apa,P12apa,"Motor neuron, process in dorsal cord, cell body in pre-anal ganglion",dots_removed
PDEL,V5L.paaa,V5L.paaa,"Neuron, dopaminergic of postderid sensillum",none
PDER,V5R.paaa,V5R.paaa,"Neuron, dopaminergic of postderid sensillum",none
PHAL,AB plpppaapp,ABplpppaapp,"Phasmid neurons, probably chemosensory",spaces_removed
PHAR,AB prpppaapp,ABprpppaapp,"Phasmid neurons, probably chemosensory",spaces_removed
PHBL,AB plapppappp,ABplapppappp,"Phasmid neurons, probably chemosensory",spaces_removed
PHBR,AB prapppappp,ABprapppappp,Phasmid neuron B right — chemosensory,spaces_removed
PHCL,TL.pppaa,TL.pppaa,"Neuron, striated rootlet in male, possibly sensory in tail spike",none
PHCR,TR.pppaa,TR.pppaa,"Neuron, striated rootlet in male, possibly sensory in tail spike",none
PLML,AB plapappppaa,ABplapappppaa,"Posterior lateral microtubule cell, touch receptor",spaces_removed
PLMR,AB prapappppaa,ABprapappppaa,"Posterior lateral microtubule cell, touch receptor",spaces_removed
PLNL,TL.pppap,TL.pppap,"Interneuron, associated with PLM",none
PLNR,TR.pppap,TR.pppap,"Interneuron, associated with PLM",none
PQR,QL.ap,QL.ap,"Neuron, basal body, not part of a sensillum, projects into preanal gangion",none
PVCL,AB plpppaapaa,ABplpppaapaa,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB andDB motor neurons, formerly called delta",spaces_removed
PVCR,AB prpppaapaa,ABprpppaapaa,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB andDB motor neurons, formerly called delta",spaces_removed
PVDL,V5L.paapa,V5L.paapa,"Neuron, lateral process adjacent to excretory canal",none
PVDR,V5R.paapa,V5R.paapa,"Neuron, lateral process adjacent to excretory canal",none
PVM,QL.paa,QL.paa,"Posterior ventral microtuble cell, touch receptor",none
PVNL,TL.appp,TL.appp,"Interneuron/motor neuron, post. vent. cord, few synapses",none
PVNR,TR.appp,TR.appp,"Interneuron/motor neuron, post. vent. cord, few synapses",none
PVPL,AB plppppaaa,ABplppppaaa,"Interneuron, cell body in lumbar ganglion, projects along ventral cord to nerve ring",spaces_removed
PVPR,AB prppppaaa,ABprppppaaa,"Interneuron, cell body in lumbar ganglion, projects along ventral cord to nerve ring",spaces_removed
PVQL,AB plapppaaa,ABplapppaaa,"Interneuron, projects along ventral cord to ring",spaces_removed
PVQR,AB prapppaaa,ABprapppaaa,"Interneuron, projects along ventral cord to ring",spaces_removed
PVR,C aappv,Caappv,"Interneuron, projects along ventral cord to ring",spaces_removed
PVT,AB plpappppa,ABplpappppa,"Interneuron, projects along ventral cord to ring",spaces_removed
PVWL,TL.ppa,TL.ppa,"Interneuron, posterior ventral cord, few synapses",none
PVWR,TR.ppa,TR.ppa,"Interneuron, posterior ventral cord, few synapses",none
RIAL,AB alapaapaa,ABalapaapaa,"Ring interneuron, many synapses",spaces_removed
RIAR,AB alaapppaa,ABalaapppaa,"Ring interneuron, many synapses",spaces_removed
