adult_neuron,input_wormbase_raw,after_step1_spaces_removed,after_step2_dots_removed,after_step3_suffix_stripped,output_sulston_final,rules_applied
DB7,AB prppaappp,ABprppaappp,ABprppaappp,ABprppaappp,ABprppaappp,spaces_removed
DD1,AB plppappap,ABplppappap,ABplppappap,ABplppappap,ABplppappap,spaces_removed
DD2,AB prppappap,ABprppappap,ABprppappap,ABprppappap,ABprppappap,spaces_removed
DD3,AB plppapppa,ABplppapppa,ABplppapppa,ABplppapppa,ABplppapppa,spaces_removed
DD4,AB prppapppa,ABprppapppa,ABprppapppa,ABprppapppa,ABprppapppa,spaces_removed
DD5,AB plppapppp,ABplppapppp,ABplppapppp,ABplppapppp,ABplppapppp,spaces_removed
DD6,AB prppapppp,ABprppapppp,ABprppapppp,ABprppapppp,ABprppapppp,spaces_removed
DVA,AB prppppapp,ABprppppapp,ABprppppapp,ABprppppapp,ABprppppapp,spaces_removed
DVB,K.p,K.p,K.p,K.p,K.p,none
DVC,C aapaa,Caapaa,Caapaa,Caapaa,Caapaa,spaces_removed
FLPL,AB plapaaapad,ABplapaaapad,ABplapaaapad,ABplapaaapa,ABplapaaapa,spaces_removed + suffix_d_stripped
FLPR,AB prapaaapad,ABprapaaapad,ABprapaaapad,ABprapaaapa,ABprapaaapa,spaces_removed + suffix_d_stripped
HSNL,AB plapppappa,ABplapppappa,ABplapppappa,ABplapppappa,ABplapppappa,spaces_removed
HSNR,AB prapppappa,ABprapppappa,ABprapppappa,ABprapppappa,ABprapppappa,spaces_removed
I1L,AB alpapppaa,ABalpapppaa,ABalpapppaa,ABalpapppaa,ABalpapppaa,spaces_removed
I1R,AB arapappaa,ABarapappaa,ABarapappaa,ABarapappaa,ABarapappaa,spaces_removed
I2L,AB alpappaapa,ABalpappaapa,ABalpappaapa,ABalpappaapa,ABalpappaapa,spaces_removed
I2R,AB arapapaapa,ABarapapaapa,ABarapapaapa,ABarapapaapa,ABarapapaapa,spaces_removed
I3,MS aaaaapaa,MSaaaaapaa,MSaaaaapaa,MSaaaaapaa,MSaaaaapaa,spaces_removed
I4,MS aaaapaa,MSaaaapaa,MSaaaapaa,MSaaaapaa,MSaaaapaa,spaces_removed
I5,AB arapapapp,ABarapapapp,ABarapapapp,ABarapapapp,ABarapapapp,spaces_removed
I6,MS paaapaa,MSpaaapaa,MSpaaapaa,MSpaaapaa,MSpaaapaa,spaces_removed
IL1DL,AB alapappaaa,ABalapappaaa,ABalapappaaa,ABalapappaaa,ABalapappaaa,spaces_removed
IL1DR,AB alappppaaa,ABalappppaaa,ABalappppaaa,ABalappppaaa,ABalappppaaa,spaces_removed
IL1L,AB alapaappaa,ABalapaappaa,ABalapaappaa,ABalapaappaa,ABalapaappaa,spaces_removed
IL1R,AB alaappppaa,ABalaappppaa,ABalaappppaa,ABalaappppaa,ABalaappppaa,spaces_removed
IL1VL,AB alppapppaa,ABalppapppaa,ABalppapppaa,ABalppapppaa,ABalppapppaa,spaces_removed
IL1VR,AB arapppppaa,ABarapppppaa,ABarapppppaa,ABarapppppaa,ABarapppppaa,spaces_removed
IL2DL,AB alapappap,ABalapappap,ABalapappap,ABalapappap,ABalapappap,spaces_removed
IL2DR,AB alappppap,ABalappppap,ABalappppap,ABalappppap,ABalappppap,spaces_removed
IL2L,AB alapaappp,ABalapaappp,ABalapaappp,ABalapaappp,ABalapaappp,spaces_removed
IL2R,AB alaappppp,ABalaappppp,ABalaappppp,ABalaappppp,ABalaappppp,spaces_removed
IL2VL,AB alppapppp,ABalppapppp,ABalppapppp,ABalppapppp,ABalppapppp,spaces_removed
